name,bytes,build,threads,mode,time,reads_per_sec,mapped,matches
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,6,Batch,1.0679493899999999,936373.960567551,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,6,Sequential,1.088560985,918643.9839197433,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,12,Prefetch,0.330876705,3022273.810421317,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,12,Batch,0.653050393,1531275.3973030685,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,12,Sequential,0.670409096,1491626.53962559,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,1,Prefetch,3.072711637,325445.44302775396,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,1,Batch,6.252191771,159943.9103321132,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,1,Sequential,6.186842804,161633.32925696232,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,6,Prefetch,0.648083541,1543010.9495713918,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,6,Batch,1.205427564,829581.1626222278,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,6,Sequential,1.210909987,825825.2147027672,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,12,Prefetch,0.507613037,1970004.5647172767,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,12,Batch,0.778476522,1284560.255498624,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain<512>>>",829080632,50.103195518,12,Sequential,0.770075455,1298574.0468770037,148339,4280960
"BatchingFm<FlatTextWithRankSupport<i64>>",2080768656,7.147921538,1,Prefetch,1.247400317,801667.2646075654,148339,4280960
"BatchingFm<FlatTextWithRankSupport<i64>>",2080768656,7.147921538,1,Batch,2.3610163809999998,423546.4048650326,148339,4280960
"BatchingFm<FlatTextWithRankSupport<i64>>",2080768656,7.147921538,1,Sequential,4.195218391,238366.61331989284,148339,4280960
"BatchingFm<FlatTextWithRankSupport<i64>>",2080768656,7.147921538,6,Prefetch,0.349562416,2860719.443019298,148339,4280960
