ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,8192,2.039,1,12.99,4.50,4.97,2.17,0.76,0.87,1.17,0.69,0.80
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,8192,2.039,0,9.07,3.98,4.15,1.67,0.66,0.75,0.94,0.68,0.75
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,8192,1.352,1,15.14,6.52,6.91,2.54,1.10,1.17,1.47,0.91,1.13
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,8192,1.352,0,10.71,4.99,6.08,1.81,0.87,1.33,1.12,0.83,1.05
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,8192,1.164,1,16.74,7.66,7.79,2.82,1.28,1.62,1.65,1.13,1.34
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,8192,1.164,0,12.22,6.22,7.45,2.07,1.47,1.50,1.32,0.95,1.21
"RSNarrow",2,32768,1.273,0,7.44,3.26,4.12,1.25,0.85,0.73,0.72,0.54,0.70
"RSWide",2,32768,1.057,0,20.22,13.54,14.22,3.32,2.27,2.59,2.10,1.85,2.04
"CondensedTextWithRankSupport<i64>",2,32768,1.528,0,6.81,3.01,7.13,1.14,0.54,1.62,0.64,0.52,1.46
"CondensedTextWithRankSupport<i64, Block512>",2,32768,1.104,0,15.14,6.57,10.42,2.59,1.34,2.31,1.59,1.29,2.01
"RankSelect101111",2,32768,1.045,0,14.94,11.60,12.92,2.52,1.95,2.14,1.65,1.49,1.76
"Rank9",2,32768,1.266,0,6.07,2.36,3.05,1.01,0.40,0.52,0.57,0.39,0.51
"RankSmall<1, 9>",2,32768,1.145,0,10.88,7.25,7.81,1.82,1.23,1.31,1.16,0.99,1.13
"RankSmall<2, 9>",2,32768,1.207,0,6.74,2.84,3.54,1.11,0.46,0.59,0.63,0.44,0.58
"RankSmall<1, 10>",2,32768,1.082,0,14.50,10.56,11.22,2.39,1.82,1.93,1.57,1.48,1.85
"RankSmall<1, 11>",2,32768,1.051,0,15.89,12.88,13.44,2.67,2.48,2.57,1.87,1.80,1.95
"RankSmall<3, 13>",2,32768,1.035,0,20.54,16.33,17.52,3.39,2.85,2.98,2.52,2.42,2.58
"Ranker<BinaryBlock64x2>",2,32768,1.344,0,10.54,3.53,4.06,1.79,0.60,0.69,0.96,0.54,0.68
"Ranker<BinaryBlock32x2>",2,32768,1.157,0,11.09,4.07,4.80,1.83,1.17,1.37,1.01,0.65,0.76
"Ranker<BinaryBlock16x2>",2,32768,1.079,0,11.03,3.84,5.04,1.81,0.65,0.79,0.97,0.59,0.82
"Ranker<BinaryBlock16>",2,32768,1.048,0,16.02,5.68,6.34,2.68,0.95,1.56,1.47,0.83,1.06
"Ranker<BinaryBlock16Spider>",2,32768,1.048,0,21.35,16.83,17.03,3.53,2.65,2.82,2.15,1.86,2.13
