ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RankSmall<1, 11>",2,33554432,1.031,0,25.16,13.85,13.66,4.44,2.51,2.38,2.46,2.00,2.21
"RankSmall<3, 13>",2,33554432,1.016,0,27.36,18.54,18.41,4.81,3.43,3.09,3.02,2.70,2.74
"Ranker<BinaryBlock64x2>",2,33554432,1.333,0,24.27,5.88,4.44,4.25,1.21,0.75,2.24,0.98,0.75
"Ranker<BinaryBlock32x2>",2,33554432,1.143,0,24.95,6.89,5.20,4.26,1.69,1.18,2.27,1.18,0.87
"Ranker<BinaryBlock16x2>",2,33554432,1.067,0,25.05,6.56,5.51,4.32,1.60,0.89,2.28,1.10,0.89
"Ranker<BinaryBlock16>",2,33554432,1.033,0,27.78,8.73,6.85,4.85,1.68,1.17,2.56,1.35,1.17
"Ranker<BinaryBlock16Spider>",2,33554432,1.033,0,26.75,17.45,17.12,4.56,3.31,2.82,2.60,2.05,2.21
"RSQVector<RSSupportPlain>",4,16777216,1.125,1,34.54,32.49,22.60,5.66,5.58,3.76,4.35,5.14,3.81
"RSQVector<RSSupportPlain>",4,16777216,1.125,0,26.18,15.49,11.05,4.54,3.08,2.17,3.04,2.45,1.97
"RSQVector<RSSupportPlain<512>>",4,16777216,1.063,1,51.09,50.85,46.30,8.66,8.94,7.73,8.71,8.71,9.05
"RSQVector<RSSupportPlain<512>>",4,16777216,1.063,0,29.52,24.00,20.61,5.06,4.08,3.37,3.47,3.50,4.25
"FlatTextWithRankSupport<i64>",4,16777216,2.669,1,29.16,11.00,10.82,4.98,2.30,1.85,2.88,1.71,1.79
"FlatTextWithRankSupport<i64>",4,16777216,2.669,0,27.02,9.51,10.16,4.58,1.76,1.73,2.71,1.55,1.55
"FlatTextWithRankSupport<i64, Block512>",4,16777216,2.067,1,43.32,34.24,26.80,7.72,6.38,4.90,4.83,4.85,4.49
"FlatTextWithRankSupport<i64, Block512>",4,16777216,2.067,0,30.34,14.04,12.79,5.26,2.54,2.22,3.00,2.20,2.13
"CondensedTextWithRankSupport<i64>",4,16777216,1.502,1,22.26,17.77,16.81,4.00,3.23,2.83,2.90,3.29,2.83
"CondensedTextWithRankSupport<i64>",4,16777216,1.502,0,20.78,7.91,9.25,3.84,1.70,1.54,1.97,1.35,1.54
"CondensedTextWithRankSupport<i64, Block512>",4,16777216,1.065,1,35.46,35.27,30.41,6.49,6.22,5.58,5.66,4.75,5.24
"CondensedTextWithRankSupport<i64, Block512>",4,16777216,1.065,0,30.31,16.40,21.72,5.47,3.17,3.77,3.38,2.62,3.38
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,16777216,2.000,1,29.10,9.38,5.20,5.17,2.01,0.95,2.75,1.41,0.88
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,16777216,2.000,0,24.41,8.27,4.47,4.39,1.51,0.84,2.34,1.25,0.84
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,16777216,1.333,1,27.62,9.66,7.07,4.79,1.86,1.23,2.53,1.47,1.17
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,16777216,1.333,0,23.53,7.67,6.20,4.14,1.54,1.09,2.15,1.25,1.09
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,16777216,1.144,1,28.48,13.17,8.24,5.04,2.53,1.43,2.63,1.90,1.37
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,16777216,1.144,0,24.76,9.26,7.66,4.41,1.70,1.27,2.30,1.97,1.62
"RSNarrow",2,67108864,1.250,0,26.16,8.65,6.11,4.57,1.82,1.29,2.48,1.38,2.00
"RSWide",2,67108864,1.031,0,33.74,19.14,14.37,5.86,3.30,2.51,3.43,3.02,2.28
"CondensedTextWithRankSupport<i64>",2,67108864,1.502,0,42.97,13.24,8.04,7.66,2.78,1.53,4.08,2.31,1.57
"CondensedTextWithRankSupport<i64, Block512>",2,67108864,1.064,0,34.71,14.64,11.35,6.13,2.89,2.37,3.29,2.34,2.31
"RankSelect101111",2,67108864,1.031,0,30.52,16.32,14.74,5.59,3.02,2.51,3.04,2.23,2.18
"Rank9",2,67108864,1.250,0,34.81,10.04,5.13,6.12,2.00,1.09,3.25,1.71,1.13
"RankSmall<1, 9>",2,67108864,1.125,0,30.51,12.66,8.15,5.44,2.44,1.39,3.01,1.87,1.21
"RankSmall<2, 9>",2,67108864,1.188,0,32.80,10.72,5.22,5.72,1.99,1.08,3.05,1.71,1.08
"RankSmall<1, 10>",2,67108864,1.063,0,30.13,15.54,12.15,5.46,2.95,2.13,3.08,2.22,1.86
"RankSmall<1, 11>",2,67108864,1.031,0,31.34,18.73,15.45,5.86,3.40,2.72,3.27,2.62,2.39
"RankSmall<3, 13>",2,67108864,1.016,0,35.40,24.90,21.89,6.34,4.79,4.04,3.89,3.43,3.20
"Ranker<BinaryBlock64x2>",2,67108864,1.333,0,38.20,11.88,4.63,6.84,2.44,0.94,3.61,1.96,0.96
"Ranker<BinaryBlock32x2>",2,67108864,1.143,0,33.04,11.82,5.29,5.76,2.60,0.92,3.09,1.86,0.89
"Ranker<BinaryBlock16x2>",2,67108864,1.067,0,30.79,10.51,5.55,5.43,2.30,0.91,2.86,1.61,0.89
"Ranker<BinaryBlock16>",2,67108864,1.033,0,32.72,11.71,7.04,5.69,2.22,1.24,3.08,1.73,1.19
"Ranker<BinaryBlock16Spider>",2,67108864,1.033,0,31.01,19.61,17.12,5.43,3.70,2.85,3.07,2.37,2.22
"RSQVector<RSSupportPlain>",4,33554432,1.125,1,35.60,33.39,22.33,6.02,6.15,4.13,4.64,5.45,3.91
"RSQVector<RSSupportPlain>",4,33554432,1.125,0,26.94,16.52,10.67,4.83,2.95,1.84,3.32,2.67,2.11
"RSQVector<RSSupportPlain<512>>",4,33554432,1.063,1,50.37,50.06,46.37,8.75,8.62,7.82,8.75,8.77,9.08
"RSQVector<RSSupportPlain<512>>",4,33554432,1.063,0,28.63,23.91,20.67,5.04,4.04,3.39,3.53,3.54,3.46
"FlatTextWithRankSupport<i64>",4,33554432,2.669,1,62.45,20.83,18.79,10.85,4.41,3.45,5.90,3.64,3.41
"FlatTextWithRankSupport<i64>",4,33554432,2.669,0,51.31,15.84,10.42,8.77,3.37,2.42,5.81,2.81,1.69
"FlatTextWithRankSupport<i64, Block512>",4,33554432,2.067,1,75.91,66.06,28.95,14.69,13.36,6.10,8.64,8.89,5.43
"FlatTextWithRankSupport<i64, Block512>",4,33554432,2.067,0,50.76,25.20,12.92,8.85,5.01,2.71,5.00,3.71,2.25
"CondensedTextWithRankSupport<i64>",4,33554432,1.502,1,45.68,34.33,17.04,8.43,6.54,3.02,5.24,5.41,3.10
"CondensedTextWithRankSupport<i64>",4,33554432,1.502,0,45.43,19.34,9.75,8.35,4.01,1.73,4.45,3.49,1.81
"CondensedTextWithRankSupport<i64, Block512>",4,33554432,1.064,1,48.47,47.96,30.45,8.75,8.71,5.87,6.13,5.85,5.44
"CondensedTextWithRankSupport<i64, Block512>",4,33554432,1.064,0,43.74,23.65,22.04,7.90,4.66,3.94,4.29,3.44,3.54
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,33554432,2.000,1,43.75,14.13,5.42,7.69,2.93,1.10,4.09,2.32,1.08
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,33554432,2.000,0,38.85,13.31,4.67,6.97,2.89,1.07,4.69,2.19,1.06
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,33554432,1.333,1,36.06,14.41,7.26,6.27,2.62,1.30,3.34,2.10,1.21
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,33554432,1.333,0,31.95,12.89,6.42,5.58,2.40,1.16,3.00,1.94,1.29
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,33554432,1.144,1,28.53,13.23,8.20,4.90,2.55,1.43,2.64,1.91,1.37
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,33554432,1.144,0,24.92,9.45,7.64,4.45,1.77,1.27,2.32,1.48,1.27
"RSNarrow",2,134217728,1.250,0,56.05,14.57,8.92,9.65,3.18,2.97,5.07,2.72,3.08
"RSWide",2,134217728,1.031,0,48.66,25.54,14.48,8.41,4.80,2.99,4.90,3.99,2.41
"CondensedTextWithRankSupport<i64>",2,134217728,1.502,0,64.39,16.22,10.84,11.39,3.83,2.65,6.07,3.27,2.58
"CondensedTextWithRankSupport<i64, Block512>",2,134217728,1.064,0,50.94,20.02,11.59,8.88,4.36,2.46,4.78,3.39,2.47
"RankSelect101111",2,134217728,1.031,0,48.26,20.36,18.16,8.69,4.12,3.27,4.85,3.38,2.95
"Rank9",2,134217728,1.250,0,53.99,12.08,7.22,9.16,2.53,1.67,4.88,2.30,1.69
"RankSmall<1, 9>",2,134217728,1.125,0,48.05,16.01,8.30,8.26,3.38,1.51,4.56,2.67,1.48
"RankSmall<2, 9>",2,134217728,1.188,0,50.86,13.20,6.90,8.58,3.07,1.52,4.60,2.37,1.56
"RankSmall<1, 10>",2,134217728,1.063,0,46.94,19.98,14.11,8.40,3.96,2.64,4.73,3.25,2.25
"RankSmall<1, 11>",2,134217728,1.031,0,48.58,24.31,19.88,8.97,4.94,3.84,5.12,3.94,3.40
"RankSmall<3, 13>",2,134217728,1.016,0,52.91,32.82,29.46,9.79,6.48,5.77,6.23,5.17,4.64
"Ranker<BinaryBlock64x2>",2,134217728,1.333,0,54.54,14.51,5.46,9.47,3.38,1.44,5.04,2.70,1.39
"Ranker<BinaryBlock32x2>",2,134217728,1.143,0,48.65,15.74,5.48,8.33,3.43,1.44,4.52,2.75,1.23
"Ranker<BinaryBlock16x2>",2,134217728,1.067,0,46.22,14.94,5.76,7.88,3.00,1.18,4.30,2.52,1.18
"Ranker<BinaryBlock16>",2,134217728,1.033,0,47.88,15.99,7.25,8.14,3.26,1.34,4.46,2.67,1.36
"Ranker<BinaryBlock16Spider>",2,134217728,1.033,0,45.76,22.94,17.18,7.95,4.40,2.93,4.43,3.19,2.47
"RSQVector<RSSupportPlain>",4,67108864,1.125,1,61.49,59.36,22.62,10.46,10.63,4.16,7.14,7.86,4.17
"RSQVector<RSSupportPlain>",4,67108864,1.125,0,53.11,33.07,11.13,9.49,6.22,2.39,5.67,4.99,2.62
"RSQVector<RSSupportPlain<512>>",4,67108864,1.063,1,81.44,81.13,47.06,14.41,14.54,9.02,10.76,10.77,9.46
"RSQVector<RSSupportPlain<512>>",4,67108864,1.063,0,59.14,46.25,21.97,10.82,8.54,4.37,6.37,6.34,4.25
"FlatTextWithRankSupport<i64>",4,67108864,2.669,1,77.13,22.47,22.39,13.41,5.06,4.66,8.36,4.24,4.21
"FlatTextWithRankSupport<i64>",4,67108864,2.669,0,66.41,17.23,10.54,11.22,4.00,2.09,5.99,3.35,1.99
"FlatTextWithRankSupport<i64, Block512>",4,67108864,2.066,1,94.73,84.05,32.95,18.86,17.70,7.66,11.00,11.16,6.77
"FlatTextWithRankSupport<i64, Block512>",4,67108864,2.066,0,69.26,33.28,13.15,12.25,6.58,2.44,6.64,4.97,2.38
"CondensedTextWithRankSupport<i64>",4,67108864,1.502,1,65.76,43.82,18.39,12.61,9.04,3.32,7.50,7.79,3.36
"CondensedTextWithRankSupport<i64>",4,67108864,1.502,0,65.01,23.75,11.66,12.35,5.55,2.69,6.57,4.57,2.68
"CondensedTextWithRankSupport<i64, Block512>",4,67108864,1.064,1,65.54,65.31,31.21,12.04,12.04,5.76,8.00,7.65,5.73
"CondensedTextWithRankSupport<i64, Block512>",4,67108864,1.064,0,61.06,30.36,22.32,11.14,6.11,4.53,6.13,4.88,3.83
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,67108864,2.000,1,65.72,18.35,5.96,11.65,4.55,1.83,6.04,3.40,1.78
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,67108864,2.000,0,60.67,16.41,5.84,10.76,4.47,1.92,5.68,3.20,1.78
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,67108864,1.333,1,56.34,20.65,7.43,9.87,4.23,1.48,5.20,3.45,1.44
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,67108864,1.333,0,51.55,18.48,6.58,9.21,4.01,1.75,4.86,3.24,1.42
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,67108864,1.144,1,51.13,24.86,8.57,9.11,4.81,1.59,4.88,3.72,1.54
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,67108864,1.144,0,47.39,19.39,8.00,8.46,4.05,1.74,4.56,3.15,1.46
"RSNarrow",2,268435456,1.250,0,70.71,16.48,11.58,12.54,4.32,4.39,7.82,3.58,4.00
"RSWide",2,268435456,1.031,0,71.57,31.96,15.19,12.36,5.92,3.43,6.73,5.35,2.74
"CondensedTextWithRankSupport<i64>",2,268435456,1.502,0,77.41,17.91,13.59,13.97,4.91,3.79,7.48,4.04,3.65
"CondensedTextWithRankSupport<i64, Block512>",2,268435456,1.064,0,71.45,25.14,12.17,12.02,5.53,2.63,6.32,4.34,2.72
"RankSelect101111",2,268435456,1.031,0,64.79,22.03,17.51,11.51,5.00,3.93,6.11,4.04,2.79
"Rank9",2,268435456,1.250,0,71.00,13.65,10.37,12.33,3.54,3.00,6.55,3.02,2.72
"RankSmall<1, 9>",2,268435456,1.125,0,67.11,18.17,8.92,11.66,4.45,2.17,6.26,3.48,2.12
"RankSmall<2, 9>",2,268435456,1.188,0,69.71,14.60,10.00,11.78,3.51,2.41,6.24,2.99,2.35
"RankSmall<1, 10>",2,268435456,1.063,0,66.44,22.63,16.96,12.09,5.30,3.56,6.46,4.24,2.95
"RankSmall<1, 11>",2,268435456,1.031,0,65.17,26.98,19.61,12.20,6.09,4.06,6.44,4.80,3.41
"RankSmall<3, 13>",2,268435456,1.016,0,69.90,37.84,26.95,13.05,8.06,5.70,7.35,6.36,5.57
"Ranker<BinaryBlock64x2>",2,268435456,1.333,0,68.39,15.64,6.27,12.07,4.66,2.03,6.26,3.31,1.98
"Ranker<BinaryBlock32x2>",2,268435456,1.143,0,66.12,18.11,6.24,11.51,5.00,1.93,6.10,3.58,1.88
"Ranker<BinaryBlock16x2>",2,268435456,1.067,0,64.72,17.62,6.50,11.43,4.88,1.91,5.93,3.39,1.84
"Ranker<BinaryBlock16>",2,268435456,1.033,0,67.45,19.85,7.48,11.66,5.31,2.06,6.13,3.66,1.84
"Ranker<BinaryBlock16Spider>",2,268435456,1.033,0,64.66,25.31,17.23,11.40,5.47,3.05,6.08,4.11,2.41
"RSQVector<RSSupportPlain>",4,134217728,1.125,1,79.50,76.99,23.50,13.67,13.85,5.15,8.92,9.62,4.89
"RSQVector<RSSupportPlain>",4,134217728,1.125,0,72.82,41.38,12.56,12.72,8.11,4.01,7.82,6.68,3.62
"RSQVector<RSSupportPlain<512>>",4,134217728,1.063,1,96.92,96.60,48.10,17.05,17.01,9.26,12.00,12.00,9.91
"RSQVector<RSSupportPlain<512>>",4,134217728,1.063,0,74.32,55.97,23.56,13.53,10.80,5.64,7.88,7.84,5.22
"FlatTextWithRankSupport<i64>",4,134217728,2.669,1,85.30,23.33,24.49,14.65,5.53,4.71,7.76,4.56,4.61
"FlatTextWithRankSupport<i64>",4,134217728,2.669,0,74.85,17.84,10.61,12.57,3.98,2.37,6.74,3.65,2.30
"FlatTextWithRankSupport<i64, Block512>",4,134217728,2.066,1,105.56,94.18,35.68,20.69,19.43,9.07,11.97,11.62,7.61
"FlatTextWithRankSupport<i64, Block512>",4,134217728,2.066,0,80.29,38.07,13.33,14.01,7.71,2.56,7.57,5.61,2.52
"CondensedTextWithRankSupport<i64>",4,134217728,1.502,1,78.08,47.83,18.29,15.39,11.61,3.99,9.00,9.09,3.97
"CondensedTextWithRankSupport<i64>",4,134217728,1.502,0,76.76,25.67,13.27,14.52,7.51,3.80,7.86,5.46,3.66
"CondensedTextWithRankSupport<i64, Block512>",4,134217728,1.064,1,86.26,86.03,32.89,15.96,15.94,6.43,9.90,9.44,6.18
"CondensedTextWithRankSupport<i64, Block512>",4,134217728,1.064,0,80.54,36.19,23.27,14.87,8.11,5.36,8.14,6.43,4.38
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,134217728,2.000,1,76.78,20.43,6.69,13.45,5.63,2.23,6.95,3.90,2.19
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,134217728,2.000,0,71.62,17.25,6.69,12.67,5.46,2.24,6.57,3.92,2.22
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,134217728,1.333,1,72.57,24.74,7.52,12.74,5.32,2.04,6.64,4.28,1.99
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,134217728,1.333,0,68.20,20.84,6.85,12.09,5.11,2.03,6.34,3.99,2.00
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,134217728,1.144,1,70.55,33.92,8.71,12.45,6.77,2.02,6.55,4.99,1.95
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,134217728,1.144,0,66.83,22.82,8.16,11.87,5.10,1.99,6.27,4.13,1.92
"RSNarrow",2,536870912,1.250,0,79.33,17.98,13.14,14.11,5.20,5.12,7.67,4.28,4.54
"RSWide",2,536870912,1.031,0,79.22,32.86,15.49,13.70,6.33,4.09,7.44,5.85,3.25
"CondensedTextWithRankSupport<i64>",2,536870912,1.502,0,83.11,18.31,14.94,14.85,5.25,4.46,8.04,4.50,4.30
"CondensedTextWithRankSupport<i64, Block512>",2,536870912,1.064,0,81.29,27.73,12.42,13.79,6.05,2.79,7.30,4.80,2.90
"RankSelect101111",2,536870912,1.031,0,74.81,22.82,18.73,13.23,5.77,3.78,7.03,4.48,3.14
"Rank9",2,536870912,1.250,0,79.47,15.49,12.59,14.05,4.77,3.87,7.61,4.03,3.74
"RankSmall<1, 9>",2,536870912,1.125,0,77.80,19.81,10.92,13.75,5.62,2.93,7.38,4.05,2.94
"RankSmall<2, 9>",2,536870912,1.188,0,79.44,16.71,13.09,13.88,4.67,3.64,7.50,3.90,3.48
"RankSmall<1, 10>",2,536870912,1.063,0,76.96,24.22,18.43,13.83,6.18,4.15,7.42,4.71,3.32
"RankSmall<1, 11>",2,536870912,1.031,0,75.32,28.27,21.28,14.02,6.96,4.76,7.38,5.37,3.77
"RankSmall<3, 13>",2,536870912,1.016,0,79.76,40.06,30.19,14.63,8.76,6.71,8.29,7.18,6.34
"Ranker<BinaryBlock64x2>",2,536870912,1.333,0,77.27,16.20,6.94,13.42,5.20,2.33,7.20,3.55,2.29
"Ranker<BinaryBlock32x2>",2,536870912,1.143,0,75.89,18.90,6.92,13.16,6.16,2.36,6.82,3.89,2.24
"Ranker<BinaryBlock16x2>",2,536870912,1.067,0,74.98,18.48,7.34,13.18,5.85,2.38,6.78,3.69,2.22
"Ranker<BinaryBlock16>",2,536870912,1.033,0,77.48,21.78,8.06,13.53,5.37,2.51,7.01,4.59,2.25
"Ranker<BinaryBlock16Spider>",2,536870912,1.033,0,75.20,26.37,17.38,13.28,6.05,3.29,7.02,4.59,2.54
"RSQVector<RSSupportPlain>",4,268435456,1.125,1,90.17,87.04,24.34,15.82,15.95,6.05,10.22,10.93,5.38
"RSQVector<RSSupportPlain>",4,268435456,1.125,0,82.85,44.89,13.68,14.82,9.62,5.06,8.87,7.79,4.36
"RSQVector<RSSupportPlain<512>>",4,268435456,1.063,1,105.78,105.45,48.89,19.17,19.56,10.24,12.88,12.88,10.42
"RSQVector<RSSupportPlain<512>>",4,268435456,1.063,0,83.89,62.45,24.38,15.43,11.85,7.15,8.97,8.91,6.24
"FlatTextWithRankSupport<i64>",4,268435456,2.669,1,89.33,23.85,25.73,15.32,6.02,4.96,8.01,4.72,4.83
"FlatTextWithRankSupport<i64>",4,268435456,2.669,0,79.72,18.26,10.65,13.33,4.07,2.52,7.01,3.79,2.46
"FlatTextWithRankSupport<i64, Block512>",4,268435456,2.066,1,111.04,98.71,37.05,21.79,20.14,9.79,12.51,11.80,8.12
"FlatTextWithRankSupport<i64, Block512>",4,268435456,2.066,0,86.84,41.09,13.79,14.88,7.62,2.69,7.99,5.93,2.64
"CondensedTextWithRankSupport<i64>",4,268435456,1.502,1,86.54,51.39,20.13,17.09,12.67,4.65,9.84,9.82,4.55
"CondensedTextWithRankSupport<i64>",4,268435456,1.502,0,85.08,27.05,15.21,15.95,7.82,4.47,8.40,5.89,4.30
"CondensedTextWithRankSupport<i64, Block512>",4,268435456,1.064,1,94.46,94.17,33.53,17.46,17.42,7.07,10.28,10.23,6.48
"CondensedTextWithRankSupport<i64, Block512>",4,268435456,1.064,0,89.08,38.82,23.83,16.36,9.44,6.90,8.75,7.25,4.90
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,268435456,2.000,1,83.80,21.75,7.17,14.36,5.71,2.54,7.37,4.19,2.39
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,268435456,2.000,0,78.65,17.46,7.16,13.55,5.27,2.43,6.98,3.62,2.40
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,268435456,1.333,1,81.55,27.06,7.81,14.09,6.08,2.33,7.32,4.65,2.30
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,268435456,1.333,0,77.22,21.53,7.23,13.44,5.94,2.33,7.28,4.20,2.30
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,268435456,1.144,1,80.59,38.57,8.94,14.15,7.68,2.33,7.45,5.69,2.29
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,268435456,1.144,0,76.85,23.98,8.50,13.54,6.13,2.33,7.05,4.56,2.27
"RSNarrow",2,1073741824,1.250,0,90.71,20.74,14.62,16.36,6.49,5.69,8.75,5.12,4.93
"RSWide",2,1073741824,1.031,0,86.23,34.32,15.86,14.70,6.61,4.60,7.93,6.19,3.97
"CondensedTextWithRankSupport<i64>",2,1073741824,1.502,0,84.80,18.44,15.56,15.18,5.61,4.77,8.23,4.74,4.61
"CondensedTextWithRankSupport<i64, Block512>",2,1073741824,1.064,0,87.77,29.74,14.04,15.04,6.67,3.50,7.89,5.17,3.29
"RankSelect101111",2,1073741824,1.031,0,81.21,23.56,19.55,14.09,5.76,4.18,7.48,4.71,3.35
"Rank9",2,1073741824,1.250,0,83.86,16.48,13.74,15.00,5.40,4.46,8.13,4.62,4.34
"RankSmall<1, 9>",2,1073741824,1.125,0,84.66,20.65,12.60,15.17,6.01,3.88,8.13,4.74,3.77
"RankSmall<2, 9>",2,1073741824,1.188,0,85.08,18.16,14.62,15.32,5.88,4.64,8.20,4.76,4.33
"RankSmall<1, 10>",2,1073741824,1.063,0,84.34,25.61,19.36,15.24,6.99,4.56,8.11,5.28,3.79
"RankSmall<1, 11>",2,1073741824,1.031,0,82.32,29.68,21.65,14.93,6.77,4.72,7.84,5.67,3.92
"RankSmall<3, 13>",2,1073741824,1.016,0,85.53,41.56,30.43,15.57,9.19,6.82,8.72,7.56,6.68
"Ranker<BinaryBlock64x2>",2,1073741824,1.333,0,82.63,16.38,7.30,14.04,5.38,2.56,7.20,3.66,2.45
"Ranker<BinaryBlock32x2>",2,1073741824,1.143,0,82.21,19.26,7.33,13.92,5.83,2.45,7.17,4.03,2.42
"Ranker<BinaryBlock16x2>",2,1073741824,1.067,0,81.70,18.78,7.96,13.84,5.27,2.48,7.19,3.83,2.41
"Ranker<BinaryBlock16>",2,1073741824,1.033,0,84.30,23.10,8.53,14.40,5.61,2.50,7.43,4.42,2.41
"Ranker<BinaryBlock16Spider>",2,1073741824,1.033,0,82.10,27.19,17.51,14.22,6.93,3.32,7.50,4.83,2.65
"RSQVector<RSSupportPlain>",4,536870912,1.125,1,96.55,92.99,25.82,17.40,17.24,6.95,11.70,12.37,5.94
"RSQVector<RSSupportPlain>",4,536870912,1.125,0,88.96,46.97,14.99,16.55,10.64,5.82,10.20,8.55,4.91
"RSQVector<RSSupportPlain<512>>",4,536870912,1.063,1,113.55,113.06,50.06,20.45,20.36,11.17,13.62,13.61,10.84
"RSQVector<RSSupportPlain<512>>",4,536870912,1.063,0,90.88,68.90,25.21,16.94,13.20,8.31,9.96,9.79,7.05
"FlatTextWithRankSupport<i64>",4,536870912,2.669,1,91.12,24.09,26.45,15.64,6.13,5.09,8.14,4.77,4.94
"FlatTextWithRankSupport<i64>",4,536870912,2.669,0,82.09,18.45,10.68,13.70,4.21,2.60,7.17,3.86,2.53
"FlatTextWithRankSupport<i64, Block512>",4,536870912,2.066,1,113.91,100.38,37.78,22.52,20.68,9.99,12.80,12.09,8.37
"FlatTextWithRankSupport<i64, Block512>",4,536870912,2.066,0,90.71,42.92,14.07,15.24,7.74,2.76,8.17,6.09,2.71
"CondensedTextWithRankSupport<i64>",4,536870912,1.502,1,88.01,51.40,18.48,17.13,13.85,4.98,10.08,10.04,4.79
"CondensedTextWithRankSupport<i64>",4,536870912,1.502,0,86.96,26.57,15.74,15.91,7.17,4.77,8.47,6.03,4.61
"CondensedTextWithRankSupport<i64, Block512>",4,536870912,1.064,1,101.10,100.74,35.30,19.11,18.92,8.08,10.82,10.80,7.05
"CondensedTextWithRankSupport<i64, Block512>",4,536870912,1.064,0,95.29,41.15,24.85,17.53,9.69,7.65,9.34,8.47,5.77
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,536870912,2.000,1,87.87,22.60,7.44,14.70,6.20,2.52,7.59,4.34,2.50
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,536870912,2.000,0,82.63,17.62,7.45,13.92,5.11,2.52,7.19,3.69,2.50
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,536870912,1.333,1,87.23,28.69,8.14,14.68,6.04,2.48,7.65,4.84,2.45
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,536870912,1.333,0,83.23,21.97,7.54,13.98,5.37,2.48,7.56,4.28,2.45
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,536870912,1.144,1,87.44,41.73,9.43,15.22,7.93,2.64,7.90,6.11,2.51
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,536870912,1.144,0,82.31,24.64,8.99,14.43,6.54,2.56,7.50,4.77,2.44
"RSNarrow",2,2147483648,1.250,0,92.50,21.38,15.14,17.43,7.14,5.95,9.31,5.54,5.17
"RSWide",2,2147483648,1.031,0,88.67,36.37,16.24,15.55,7.47,5.33,8.40,6.74,4.55
"CondensedTextWithRankSupport<i64>",2,2147483648,1.502,0,84.65,18.51,16.01,15.46,5.41,4.96,8.37,4.91,4.79
"CondensedTextWithRankSupport<i64, Block512>",2,2147483648,1.064,0,89.61,30.29,15.64,15.91,7.07,4.03,8.40,5.59,3.98
"RankSelect101111",2,2147483648,1.031,0,83.87,24.29,20.33,14.94,6.40,4.41,7.91,5.08,3.74
"Rank9",2,2147483648,1.250,0,83.37,16.45,14.22,15.23,5.65,4.75,8.29,4.85,4.63
"RankSmall<1, 9>",2,2147483648,1.125,0,85.26,20.51,13.45,15.62,6.22,4.45,8.42,5.07,4.33
"RankSmall<2, 9>",2,2147483648,1.188,0,85.08,18.42,15.40,15.71,6.34,4.98,8.41,5.21,4.76
"RankSmall<1, 10>",2,2147483648,1.063,0,86.81,26.49,19.88,16.61,8.70,5.21,8.99,6.07,4.52
"RankSmall<1, 11>",2,2147483648,1.031,0,85.41,30.92,22.06,15.84,8.18,5.29,8.35,6.18,4.25
"RankSmall<3, 13>",2,2147483648,1.016,0,87.16,42.16,30.03,16.03,9.58,6.98,8.96,7.78,6.90
"Ranker<BinaryBlock64x2>",2,2147483648,1.333,0,83.93,16.27,7.47,14.34,5.34,2.63,7.35,3.73,2.53
"Ranker<BinaryBlock32x2>",2,2147483648,1.143,0,84.04,19.20,7.52,14.27,5.82,2.55,7.36,4.09,2.52
