ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12,latency_24,loop_24,stream_24,latency_48,loop_48,stream_48,latency_96,loop_96,stream_96,latency_192,loop_192,stream_192
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,2147483648,1.333,0,128.88270,30.45594,12.66388,43.23893,10.21223,4.25584,21.87421,5.17530,2.14801,11.09552,2.62469,1.09499,5.32918,1.36283,0.57442,2.64607,0.72592,0.32341,1.39923,0.41066,0.23211,0.75450,0.35625,0.22578
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,2147483648,1.144,1,137.03435,33.20882,12.74007,46.12040,11.03641,4.26286,23.27675,5.60596,2.16188,11.76487,2.84771,1.10276,5.58583,1.44533,0.57278,2.77286,0.75696,0.31930,1.45280,0.42810,0.22879,0.77398,0.41203,0.22420
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,2147483648,1.144,0,130.27953,32.83109,13.20755,43.94221,10.98969,4.43537,22.33558,5.55024,2.25279,11.17267,2.79158,1.14238,5.34033,1.42569,0.59578,2.64712,0.75022,0.33536,1.38920,0.42587,0.23173,0.74932,0.39535,0.22474
"RSNarrow",2,8589934592,1.250,0,153.22581,26.36969,18.19729,51.33572,8.96261,6.13527,25.77257,4.47908,3.11482,12.99842,2.33413,1.60419,6.54015,1.23153,0.86980,3.39367,0.69159,0.53060,1.82465,0.47886,0.42942,0.98480,0.45367,0.43057
"RSWide",2,8589934592,1.031,0,141.89480,29.62911,15.46820,47.72107,9.93462,5.23148,23.97817,4.99983,2.60741,12.06686,2.45873,1.29851,5.91658,1.26879,0.66876,2.97402,0.67876,0.37252,1.56315,0.38646,0.26029,0.84857,0.35840,0.25256
"CondensedTextWithRankSupport<i64>",2,8589934592,1.502,0,143.44989,25.37157,23.18922,48.58586,8.52581,7.83181,24.44489,4.32894,3.96192,12.38229,2.20942,2.02999,6.27775,1.19321,1.07502,3.28459,0.71470,0.62154,1.77687,0.49964,0.46311,0.96676,0.47379,0.45654
"CondensedTextWithRankSupport<i64, Block512>",2,8589934592,1.064,0,142.99136,29.60384,20.66692,48.10376,9.91146,6.96982,24.35373,5.01461,3.50545,12.34210,2.54753,1.75984,6.14014,1.31064,0.89621,3.12655,0.69747,0.47119,1.61773,0.41016,0.30788,0.88822,0.37433,0.29063
"RankSelect101111",2,8589934592,1.031,0,138.42551,33.51926,25.43508,46.23905,11.27401,8.49138,23.24199,5.67772,4.30082,11.75411,2.88560,2.18304,5.80163,1.44583,1.10546,2.93972,0.77795,0.59271,1.54971,0.44731,0.35973,0.85131,0.40546,0.31583
"Rank9",2,8589934592,1.250,0,141.68635,21.18686,18.71560,47.46168,7.09400,6.26516,23.84734,3.59092,3.17583,12.07690,1.84982,1.63012,6.07992,1.00129,0.87941,3.20705,0.61320,0.53213,1.73068,0.44798,0.42660,0.94032,0.43463,0.42574
"RankSmall<2, 9>",2,8589934592,1.188,0,142.63301,23.25780,19.35515,47.77935,7.79362,6.50211,24.01932,3.95678,3.31802,12.14485,2.03938,1.71678,6.11092,1.10753,0.92777,3.21185,0.66133,0.55344,1.72914,0.46493,0.42840,0.94160,0.44756,0.42665
"RankSmall<1, 9>",2,8589934592,1.125,0,140.74936,28.84531,18.59785,47.05309,9.64944,6.23212,23.68807,4.89273,3.17613,11.95484,2.50353,1.62678,5.99923,1.29472,0.85570,3.12278,0.73332,0.49531,1.67316,0.45314,0.37151,0.91674,0.42029,0.37022
"RankSmall<1, 10>",2,8589934592,1.063,0,142.03946,37.97681,26.22656,47.36325,12.71365,8.78146,23.88453,6.45736,4.43722,12.06836,3.23016,2.23210,6.01993,1.68705,1.15587,3.06081,0.89671,0.62179,1.61310,0.53317,0.39244,0.88914,0.47617,0.36332
